variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
equal_weight	46	GSE283052|GSM8655161_P09|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.933313	high_pilot_v3	True	True	1						0.884613266
equal_weight	47	GSE292299|GSM8855705_NSCLC_P3|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932958	high_pilot_v3	True	True	0						0.8841397820000001
equal_weight	48	GSE283052|GSM8655160_P07|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932851	high_pilot_v3	True	True	0						0.8839977359999999
equal_weight	49	GSE283052|GSM8655164_P13|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.932638	high_pilot_v3	True	True	1						0.883713646
equal_weight	50	GSE292299|GSM8855705_NSCLC_P3|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.932567	high_pilot_v3	True	True	0						0.883618948
equal_weight	51	GSE292299|GSM8855706_NSCLC_P4|immune|immune|SPP1|CD44|SPP1	GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune	immune	SPP1	CD44	SPP1	0.932531	high_pilot_v3	True	True	1						0.8835716
equal_weight	52	GSE292299|GSM8855705_NSCLC_P3|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.932496	high_pilot_v3	True	True	0						0.883524252
equal_weight	53	GSE300445|GSM9060733_AdjIII-0022|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932247	high_pilot_v3	True	True	1						0.8831928120000001
equal_weight	54	GSE283052|GSM8655168_P24|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.931821	high_pilot_v3	True	True	1						0.8826246300000001
equal_weight	55	GSE292299|GSM8855715_NSCLC_P13|tumor_like|tumor_like|JAG1|NOTCH2|NOTCH	GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.928387	high_pilot_v3	True	True	1						0.882446488
equal_weight	56	GSE292299|GSM8855717_NSCLC_P15|immune|immune|CXCL12|CXCR4|CXCL chemokine	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.931608	high_pilot_v3	True	True	1						0.8823405400000001
equal_weight	57	GSE300445|GSM9060735_AdjIII-0133|tumor_like|tumor_like|JAG1|NOTCH2|NOTCH	GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.931537	high_pilot_v3	True	True	0						0.882245842
equal_weight	58	GSE283052|GSM8655159_P05|tumor_like|tumor_like|MIF|CD74|MIF	GSE283052	GSM8655159_P05	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.925811	high_pilot_v3	True	True	0						0.881779996
equal_weight	59	GSE283052|GSM8655158_P04|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE283052	GSM8655158_P04	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.931182	high_pilot_v3	True	True	0						0.8817723579999999
equal_weight	60	GSE292299|GSM8855706_NSCLC_P4|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.930969	high_pilot_v3	True	True	1						0.8814882660000001
